Motor Temp,85.2,105.0,120.0,C,20.0,150.0,8520.0,100
Cabin Temp,22.5,35.0,45.0,C,-5.0,60.0,1125.0,50
Room Temp,21.0,27.0,32.0,C,15.0,40.0,420.0,20
Coolant Temp,90.5,110.0,125.0,C,20.0,130.0,9050.0,100
Battery Voltage,13.8,14.7,15.5,V,10.5,16.0,690.0,50
Motor RPM,2800.0,5500.0,6500.0,RPM,0.0,8000.0,280000.0,100
Current Draw,15.4,45.0,60.0,A,0.0,100.0,1540.0,100
CPU Temp,62.3,85.0,95.0,C,30.0,105.0,3115.0,50
Hydraulic Pressure,42.5,65.0,80.0,PSI,0.0,100.0,2125.0,50
Air Flow,14.2,25.0,35.0,g/s,0.0,50.0,1420.0,100
